Taxon	190i	54	182i	131	121i	99	67	163i	34	146	106	57	113	169i	31	48	169	65	149	53	121	124	89	69	28	140i	189i	175i	107	177i	104	173i	108	164	180i	110	109	38	103	178i	119i	14	125	44	118	115	91	90	159	61	112	132	138	83	75	71	81	16	97	184i	126	96	176i	96i	148	155i	170i	55	174i	95	134	111	105	123	158	119	160	99i	157	127	141	74	70	22	153	142	97i	143	107i	130	27	13	42	128i	170	168i	63	167i	73	94	56	122	64	76	108i	183i	145i	62	88	86	129i	59	133i	103i
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030303030303	0.0	0.0	0.0	0.0	0.00207039337474	0.0	0.0	0.0	0.0	0.0	0.00361663652803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00167785234899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00227272727273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	0.00242130750605	0.0392857142857	0.0335570469799	0.00243309002433	0.00467289719626	0.0472878998609	0.0046403712297	0.0121621621622	0.00124533001245	0.0018281535649	0.05	0.00284090909091	0.00338409475465	0.00320170757737	0.00138504155125	0.014245014245	0.00448933782267	0.0134638922889	0.00268456375839	0.0148305084746	0.00104058272633	0.0080831408776	0.0125	0.0	0.00871459694989	0.0	0.0181818181818	0.0	0.0036563071298	0.00394736842105	0.00339558573854	0.00621118012422	0.0014245014245	0.00569800569801	0.00441826215022	0.00159872102318	0.00241837968561	0.0198915009042	0.0255972696246	0.0	0.0133333333333	0.0	0.0	0.00167644593462	0.0	0.0299043062201	0.0123287671233	0.00386847195358	0.0154109589041	0.00686498855835	0.0782422293676	0.00856164383562	0.0164383561644	0.0	0.0	0.000884955752212	0.0032154340836	0.00280898876404	0.0148698884758	0.00278551532033	0.00229885057471	0.13255033557	0.0544554455446	0.136363636364	0.003003003003	0.0266666666667	0.0105708245243	0.109510086455	0.0198807157058	0.234404536862	0.0169491525424	0.00167785234899	0.0041782729805	0.0132158590308	0.029490616622	0.0042735042735	0.0542005420054	0.00337837837838	0.0059880239521	0.00795454545455	0.0830985915493	0.0208768267223	0.000987166831194	0.0299295774648	0.00299401197605	0.0	0.0246913580247	0.0	0.0	0.0	0.00272479564033	0.0	0.00089928057554	0.0	0.0148305084746	0.00194552529183	0.0288065843621	0.0	0.0	0.0	0.362068965517	0.00987654320988	0.0903614457831	0.0	0.0	0.0	0.00873362445415	0.00536672629696	0.0456989247312	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales	0.0	0.0	0.0	0.00162206001622	0.0	0.0	0.00116009280742	0.0	0.0	0.0018281535649	0.0	0.0	0.0	0.00213447171825	0.00277008310249	0.000949667616334	0.003367003367	0.00734394124847	0.0	0.0	0.0	0.0	0.00416666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0144927536232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017793594306	0.00239234449761	0.0027397260274	0.0	0.0	0.0	0.0010718113612	0.0	0.0	0.00182149362477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0171428571429	0.00211416490486	0.0	0.00198807157058	0.0	0.0	0.0	0.0	0.00440528634361	0.00938337801609	0.0	0.0	0.0	0.0	0.00681818181818	0.0	0.0	0.00197433366239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00179856115108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00218340611354	0.0	0.0322580645161	0.0	0.0121951219512	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00122399020808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00272479564033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.491525423729	0.785714285714	0.429530201342	0.416058394161	0.96261682243	0.746870653686	0.493039443155	0.577027027027	0.677459526775	0.839122486289	0.709523809524	0.751420454545	0.719120135364	0.399146211313	0.882271468144	0.935422602089	0.561167227834	0.861689106487	0.591946308725	0.783898305085	0.812695109261	0.70207852194	0.904166666667	0.740807174888	0.917211328976	0.58064516129	0.384848484848	0.664900662252	0.652650822669	0.602631578947	0.913412563667	0.68115942029	0.757834757835	0.60113960114	0.455081001473	0.581135091926	0.634824667473	0.840867992767	0.924914675768	0.58691206544	0.96	0.585535465925	0.563829787234	0.865046102263	0.807829181495	0.576555023923	0.704109589041	0.68665377176	0.893835616438	0.679633867277	0.486602357985	0.868150684932	0.630136986301	0.775956284153	0.70625	0.525663716814	0.700964630225	0.897471910112	0.639405204461	0.763231197772	0.636781609195	0.667785234899	0.834158415842	0.590909090909	0.762762762763	0.771428571429	0.587737843552	0.847262247839	0.58648111332	0.676748582231	0.845916795069	0.570469798658	0.926183844011	0.629955947137	0.343163538874	0.67094017094	0.111111111111	0.510135135135	0.532934131737	0.572727272727	0.812676056338	0.415448851775	0.72754195459	0.827464788732	0.282934131737	0.634357762017	0.753086419753	0.586206896552	0.815602836879	0.794117647059	0.91825613079	0.669675090253	0.584532374101	0.412026726058	0.807203389831	0.523346303502	0.691358024691	0.718811881188	0.245076586433	0.880530973451	0.478448275862	0.641975308642	0.710843373494	0.532769556025	0.661764705882	0.322265625	0.486899563319	0.919499105546	0.411290322581	0.425	0.743902439024	0.942857142857	0.484375	0.954545454545
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales	0.0387409200969	0.027380952381	0.0771812080537	0.00729927007299	0.0140186915888	0.139082058414	0.0394431554524	0.0324324324324	0.00373599003736	0.0091407678245	0.159523809524	0.0227272727273	0.0507614213198	0.0042689434365	0.0138504155125	0.011396011396	0.00448933782267	0.046511627907	0.0348993288591	0.103813559322	0.0145681581686	0.0161662817552	0.00625	0.00627802690583	0.0479302832244	0.0	0.0272727272727	0.0317880794702	0.0054844606947	0.00263157894737	0.00339558573854	0.107660455487	0.00854700854701	0.02849002849	0.00883652430044	0.00559552358114	0.0205562273277	0.119349005425	0.0102389078498	0.0490797546012	0.0	0.0	0.0106382978723	0.00670578373847	0.0355871886121	0.0801435406699	0.0369863013699	0.0986460348162	0.013698630137	0.00343249427918	0.0235798499464	0.0102739726027	0.0342465753425	0.00182149362477	0.0125	0.0230088495575	0.0337620578778	0.0421348314607	0.046468401487	0.0	0.0126436781609	0.00335570469799	0.0321782178218	0.0227272727273	0.003003003003	0.0152380952381	0.00845665961945	0.0	0.00994035785288	0.00945179584121	0.00616332819723	0.0251677852349	0.00557103064067	0.0859030837004	0.0107238605898	0.0042735042735	0.0135501355014	0.027027027027	0.00998003992016	0.115909090909	0.0225352112676	0.0062630480167	0.00592300098717	0.0422535211268	0.00299401197605	0.0086682427108	0.0	0.0	0.0	0.0588235294118	0.0490463215259	0.0	0.00089928057554	0.00890868596882	0.0127118644068	0.0214007782101	0.0514403292181	0.0257425742574	0.00656455142232	0.0508849557522	0.0	0.0197530864198	0.0	0.014799154334	0.0294117647059	0.009765625	0.00655021834061	0.00357781753131	0.0591397849462	0.0	0.0	0.0	0.03125	0.0
k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00115473441109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00190476190476	0.0	0.0	0.0	0.0	0.0	0.0	0.00139275766017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Lentisphaerae; c__[Lentisphaeria]; o__Victivallales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00278551532033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00238095238095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054844606947	0.0	0.0	0.0	0.0	0.0	0.0	0.000799360511591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
