Taxon	6.147.1	2.32.1	6.147.3	6.19.2	4.161.3	6.19.1	5.131.3	2.79.1	1.507.1	2.52.2	6.184.1	4.161.1	2.45.1	5.131.1	4.75.3	3.33.1	1.203.2	1.110.2	1.56.2	4.60.1	6.84.1	2.503.1	2.25.1	1.97.2	2.199.1	5.125.3	1.153.1	2.47.2	1.97.1	1.511.2	3.31.1	6.181.3	1.68.2	1.9.1	2.47.1	2.79.2	4.87.1	1.9.2	4.87.2	5.131.2	2.25.2	1.153.2	2.26.2	1.49.2	4.87.3	6.181.1	2.76.1	2.126.1	4.68.3	3.43.3	1.72.1	2.144.1	4.75.1	1.506.1	3.107.1	6.184.2	2.52.1	1.7.1	4.75.2	1.8.1	1.50.2	1.154.2	1.8.2	2.33.2	2.510.1	2.24.2	2.32.2	6.184.3	5.125.1	1.49.1	5.136.1	1.511.1	2.504.2	2.76.2	5.136.3	2.81.2	1.154.1	2.24.1	2.126.2	2.157.2	4.68.1	1.91.2	1.121.1	5.125.2	1.68.1	6.147.2	1.155.2	2.504.1	2.1.1	5.127.3	6.84.3	2.48.2	1.39.2	1.95.2	1.39.1	2.26.1	1.121.2	3.98.1	3.43.2	3.33.3	6.84.2	1.120.2	1.56.1	6.19.3	2.45.2	2.33.1	1.110.1	1.63.1	2.144.2	2.48.1	4.161.2	1.203.1	1.506.2	1.7.2	1.120.1	2.81.1	6.181.2	3.33.2	2.57.1	4.60.3	3.45.1	3.43.1	2.55.1	2.116.1	5.127.1	3.107.3	1.72.2	3.107.2	5.136.2	1.155.1	1.63.2	2.1.2	1.50.1	4.93.1	3.98.3	2.57.2	3.98.2	4.93.3	2.116.2	3.45.2	1.91.1	4.93.2	3.45.3	2.157.1	4.68.2	1.95.1	4.60.2	2.510.2	5.127.2	5.63.3	5.63.2	3.31.2	3.31.3	2.503.2	2.55.2	5.63.1	2.199.2	1.507.2
Actinobacteria;Actinobacteria;Actinomycetales	1.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	10.0	11.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	18.0	2.0	0.0	0.0	4.0	0.0	0.0	15.0	1.0	4.0	1.0	62.0	1.0	3.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	0.0	6.0	0.0	4.0	1.0	7.0	0.0	0.0	1.0	9.0	5.0	3.0	0.0	14.0	3.0	0.0	0.0	6.0	0.0	0.0	1.0	1.0	4.0	0.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	1.0	0.0	3.0	0.0	13.0	1.0	0.0	0.0	2.0	0.0	1.0	1.0	1.0	4.0	5.0	2.0	0.0	0.0	0.0	22.0	0.0	5.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	2.0	3.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
Actinobacteria;Actinobacteria;Bifidobacteriales	9.0	194.0	116.0	68.0	20.0	77.0	3.0	525.0	33.0	149.0	22.0	44.0	2.0	19.0	19.0	46.0	76.0	212.0	0.0	13.0	168.0	195.0	4677.0	410.0	132.0	401.0	26.0	0.0	2152.0	213.0	2.0	162.0	0.0	4062.0	1.0	338.0	512.0	651.0	34.0	0.0	102.0	606.0	10.0	130.0	35.0	424.0	283.0	12.0	4.0	15.0	203.0	357.0	61.0	988.0	226.0	25.0	239.0	440.0	7.0	1705.0	27.0	38.0	113.0	210.0	1402.0	705.0	8.0	71.0	85.0	16.0	8.0	22.0	4.0	99.0	161.0	296.0	483.0	766.0	123.0	121.0	2.0	3.0	542.0	404.0	2.0	18.0	1272.0	22.0	178.0	40.0	292.0	3.0	480.0	1.0	820.0	555.0	1013.0	59.0	34.0	266.0	26.0	7.0	0.0	40.0	4.0	1021.0	27.0	82.0	27.0	0.0	0.0	477.0	590.0	243.0	2.0	130.0	435.0	162.0	131.0	5.0	13.0	100.0	556.0	11.0	7.0	118.0	1032.0	5.0	71.0	2800.0	212.0	309.0	38.0	2.0	61.0	39.0	22.0	0.0	0.0	236.0	44.0	0.0	13.0	36.0	0.0	10.0	0.0	79.0	15.0	1687.0	231.0	167.0	13.0	2.0	98.0	3.0	437.0	40.0
Actinobacteria;Actinobacteria;Coriobacteriales	9.0	25.0	121.0	14.0	46.0	14.0	1891.0	18.0	3.0	1.0	4.0	16.0	0.0	415.0	5.0	28.0	0.0	57.0	56.0	27.0	273.0	5.0	184.0	39.0	1.0	152.0	26.0	18.0	305.0	252.0	27.0	139.0	13.0	94.0	99.0	19.0	11.0	7.0	5.0	13.0	15.0	13.0	0.0	119.0	4.0	1163.0	11.0	61.0	22.0	12.0	12.0	17.0	5.0	466.0	118.0	2.0	2.0	419.0	2.0	39.0	16.0	2.0	9.0	331.0	32.0	41.0	43.0	25.0	466.0	41.0	72.0	8.0	4.0	1.0	49.0	38.0	86.0	247.0	73.0	4.0	41.0	0.0	60.0	154.0	12.0	16.0	99.0	1.0	98.0	60.0	198.0	30.0	88.0	0.0	39.0	125.0	131.0	110.0	4.0	14.0	94.0	4.0	32.0	75.0	0.0	364.0	149.0	142.0	2.0	6.0	8.0	65.0	55.0	28.0	0.0	47.0	332.0	37.0	29.0	13.0	14.0	4.0	35.0	5.0	41.0	29.0	35.0	1.0	7.0	37.0	401.0	31.0	14.0	102.0	109.0	25.0	54.0	7.0	1.0	64.0	1.0	4.0	40.0	3.0	35.0	2.0	1.0	5.0	10.0	863.0	56.0	21.0	2.0	0.0	0.0	0.0	4.0	8.0
Actinobacteria;Coriobacteriia;Coriobacteriales	0.0	2.0	0.0	5.0	9.0	0.0	93.0	0.0	0.0	81.0	1.0	0.0	0.0	58.0	0.0	0.0	0.0	5.0	117.0	1.0	0.0	12.0	13.0	0.0	0.0	10.0	0.0	2.0	0.0	0.0	0.0	0.0	14.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	27.0	6.0	15.0	2.0	0.0	0.0	15.0	0.0	0.0	6.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	7.0	26.0	0.0	3.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	12.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	22.0	3.0	0.0	0.0	63.0	26.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	3.0	7.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	7.0	2.0	0.0	0.0	4.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	2.0	30.0	21.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
Bacteroidetes;Bacteroidia;Bacteroidales	20994.0	10496.0	6732.0	4826.0	13578.0	1341.0	6190.0	11500.0	38272.0	3121.0	21778.0	22753.0	13.0	5132.0	4631.0	19245.0	38.0	16849.0	43697.0	8634.0	2908.0	12679.0	14279.0	784.0	37332.0	21030.0	29967.0	16860.0	15300.0	18106.0	29119.0	2660.0	1486.0	5185.0	19265.0	12062.0	810.0	15772.0	27014.0	19323.0	45397.0	28519.0	28758.0	22271.0	9252.0	7987.0	17693.0	25157.0	21059.0	17329.0	7060.0	11039.0	8111.0	33134.0	16132.0	6746.0	1694.0	18468.0	24856.0	1637.0	24331.0	1258.0	54392.0	20801.0	3860.0	13051.0	22827.0	12941.0	20993.0	28549.0	28145.0	35473.0	19272.0	21440.0	14171.0	27105.0	1444.0	21061.0	6002.0	31177.0	12568.0	5581.0	5283.0	20295.0	11707.0	15213.0	5854.0	27247.0	3961.0	17718.0	5091.0	22364.0	16804.0	28178.0	5104.0	1493.0	1454.0	2175.0	4350.0	24143.0	6287.0	25716.0	21796.0	309.0	36.0	21519.0	9172.0	12633.0	7410.0	28719.0	10136.0	88.0	27254.0	30164.0	7309.0	22427.0	4570.0	13570.0	30477.0	11302.0	25068.0	25316.0	25479.0	37466.0	26340.0	19461.0	3386.0	12057.0	23452.0	1089.0	6808.0	16833.0	18192.0	18460.0	16598.0	31612.0	2783.0	20925.0	28069.0	8500.0	485.0	18809.0	18684.0	32.0	7844.0	25906.0	14457.0	15007.0	31278.0	1529.0	991.0	19019.0	29519.0	20975.0	17128.0	27459.0	368.0	20351.0
Bacteroidetes;Flavobacteriia;Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyanobacteria[Melainabacteria];[Melainabacteria];[Melainabacteriales]	0.0	640.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	162.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	342.0	0.0	0.0	466.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	45.0	26.0	0.0	10.0	0.0	4.0	0.0	0.0	9.0	264.0	0.0	0.0	0.0	0.0	11.0	459.0	0.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	1.0	0.0	138.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	1236.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	392.0	408.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Euryarchaeota;Methanobacteria;Methanobacteriales	0.0	27.0	3.0	31.0	3.0	13.0	21.0	55.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	39.0	14.0	1.0	0.0	0.0	789.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	2.0	16.0	0.0	0.0	15.0	0.0	7.0	0.0	1.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	33.0	141.0	19.0	32.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	76.0	0.0	0.0	3.0	0.0	0.0	76.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	13.0	0.0	0.0	0.0	28.0	2.0	2.0	4.0	0.0	1.0	0.0	0.0	0.0	290.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	1069.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	288.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0
Firmicutes;Bacilli;Bacillales	13.0	7.0	6.0	1.0	43.0	0.0	75.0	18.0	16.0	41.0	7.0	14.0	47.0	24.0	14.0	16.0	30.0	7.0	6.0	11.0	5.0	16.0	70.0	2.0	10.0	17.0	22.0	2.0	27.0	10.0	22.0	17.0	16.0	53.0	8.0	22.0	31.0	7.0	17.0	13.0	14.0	46.0	1.0	4.0	36.0	17.0	3.0	11.0	19.0	16.0	15.0	31.0	9.0	11.0	18.0	3.0	29.0	5.0	33.0	94.0	21.0	7.0	7.0	8.0	26.0	29.0	0.0	18.0	13.0	19.0	12.0	20.0	27.0	7.0	8.0	10.0	3.0	24.0	32.0	22.0	6.0	25.0	27.0	8.0	6.0	2.0	24.0	1.0	22.0	3.0	52.0	16.0	0.0	2.0	2.0	49.0	56.0	91.0	25.0	20.0	12.0	6.0	1.0	1.0	22.0	13.0	21.0	25.0	7.0	5.0	5.0	30.0	22.0	13.0	3.0	2.0	27.0	13.0	10.0	11.0	32.0	8.0	13.0	14.0	2.0	7.0	9.0	13.0	3.0	33.0	21.0	7.0	9.0	4.0	9.0	13.0	114.0	20.0	4.0	135.0	10.0	9.0	10.0	1.0	9.0	4.0	5.0	7.0	7.0	81.0	99.0	43.0	12.0	13.0	4.0	24.0	8.0	11.0
Firmicutes;Bacilli;Gemellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	19.0	0.0	45.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	15.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
