Taxon	v3.Len.15	v3.Len.27	v3.Len.18	v3.Len.33	v3.Len.31	v3.Len.29	v3.Len.04	v3.Len.23	v3.Len.11	v3.Len.32	v3.Len.30	v3.Len.07	v3.Len.35	v3.Len.34	v3.Len.38	v3.Len.37	v3.Len.19	v3.Len.20	v3.Len.01	v3.Len.28	v3.Len.05	v3.Len.22	v3.Len.21	v3.Len.12	v3.Len.02	v3.Len.36	v3.Len.24	v3.Len.08	v3.Len.03	v3.Len.06	v3.Len.17	v3.Len.16
k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0021186440678	0.0	0.0	0.0	0.0034965034965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00162074554295	0.0	0.0	0.0	0.0	0.00146627565982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015503875969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00146627565982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00384615384615	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae	0.130177514793	0.0462555066079	0.0569105691057	0.0	0.0647948164147	0.0254237288136	0.0597826086957	0.0	0.0863787375415	0.0699300699301	0.00162074554295	0.0890151515152	0.011811023622	0.0	0.0313725490196	0.08357771261	0.0190476190476	0.0	0.0	0.0141129032258	0.0046511627907	0.0467091295117	0.0	0.0877659574468	0.17695473251	0.0230414746544	0.157692307692	0.0	0.354166666667	0.00299401197605	0.00662251655629	0.0
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae	0.00118343195266	0.0264317180617	0.0271002710027	0.0	0.0194384449244	0.00847457627119	0.0126811594203	0.0	0.00498338870432	0.0314685314685	0.0210696920583	0.00189393939394	0.0	0.00176991150442	0.0274509803922	0.024926686217	0.0031746031746	0.0	0.0	0.00201612903226	0.0	0.00849256900212	0.0	0.00265957446809	0.0082304526749	0.036866359447	0.0	0.0	0.00320512820513	0.0	0.00662251655629	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae	0.28875739645	0.00220264317181	0.00271002710027	0.00546448087432	0.00431965442765	0.0021186440678	0.298913043478	0.0	0.121262458472	0.0034965034965	0.0	0.0757575757576	0.0196850393701	0.0141592920354	0.0254901960784	0.146627565982	0.00952380952381	0.0	0.0939947780679	0.0725806451613	0.0	0.0467091295117	0.0281690140845	0.0425531914894	0.0699588477366	0.0	0.0	0.0227272727273	0.125	0.0	0.0331125827815	0.1
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae	0.00710059171598	0.0	0.0	0.0109289617486	0.0	0.0021186440678	0.0126811594203	0.0	0.00166112956811	0.0	0.0	0.0	0.00393700787402	0.00884955752212	0.0	0.0	0.0	0.0	0.00522193211488	0.00201612903226	0.0	0.0	0.0	0.0	0.00205761316872	0.0	0.0	0.0227272727273	0.0240384615385	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae	0.00236686390533	0.00440528634361	0.0	0.508196721311	0.00863930885529	0.0	0.0	0.0	0.0797342192691	0.013986013986	0.0	0.0	0.00787401574803	0.582300884956	0.0	0.0	0.00634920634921	0.0	0.00261096605744	0.00806451612903	0.0	0.00636942675159	0.0	0.00265957446809	0.0925925925926	0.0	0.00384615384615	0.0	0.00160256410256	0.0	0.0728476821192	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae	0.00355029585799	0.0	0.0	0.0	0.0	0.0	0.0036231884058	0.0	0.00332225913621	0.0	0.0	0.00568181818182	0.0	0.00176991150442	0.0	0.00439882697947	0.0	0.0	0.0	0.0	0.0	0.00212314225053	0.0	0.0	0.00617283950617	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Barnesiellaceae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0108695652174	0.0	0.00166112956811	0.0	0.0	0.0	0.0	0.0	0.0	0.00146627565982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00265957446809	0.00205761316872	0.0	0.0	0.0	0.00641025641026	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00146627565982	0.0	0.0	0.0	0.00201612903226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0070796460177	0.0	0.0	0.0015873015873	0.0	0.0	0.00806451612903	0.0015503875969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261096605744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00160256410256	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261096605744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00293255131965	0.0	0.0	0.0	0.00403225806452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Gemellales; f__Gemellaceae	0.00118343195266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00166112956811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015873015873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00522193211488	0.0	0.0	0.0	0.00281690140845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae	0.0	0.0	0.0	0.00546448087432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00293255131965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261096605744	0.0	0.0	0.0	0.030985915493	0.0	0.0	0.0	0.00384615384615	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae	0.00118343195266	0.0	0.0	0.016393442623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106194690265	0.0	0.00146627565982	0.00634920634921	0.0434782608696	0.0	0.0	0.0077519379845	0.0	0.0056338028169	0.0	0.0	0.0	0.0	0.0	0.00320512820513	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00281690140845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae	0.0627218934911	0.0154185022026	0.0271002710027	0.0218579234973	0.0129589632829	0.0148305084746	0.0217391304348	0.0162601626016	0.014950166113	0.0174825174825	0.0178282009724	0.00568181818182	0.00393700787402	0.0371681415929	0.00196078431373	0.0219941348974	0.185714285714	0.195652173913	0.00522193211488	0.395161290323	0.939534883721	0.0297239915074	0.140845070423	0.00797872340426	0.0267489711934	0.00921658986175	0.0	0.0227272727273	0.0272435897436	0.00898203592814	0.0	0.0
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae	0.0	0.0	0.00271002710027	0.0	0.00215982721382	0.0021186440678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00261096605744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0018115942029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
