sample_id,group_id,quality_status
1.155.2,AMO_2,good
1.203.2,AMO_2,good
1.507.2,AMO_2,good
1.511.2,AMO_2,good
1.68.2,AMO_2,good
1.506.2,AMO_2,good
334,EKOL_1,good
336,EKOL_1,good
338,EKOL_1,good
342,EKOL_1,good
344,EKOL_1,good
346,EKOL_1,good
348,EKOL_1,good
350,EKOL_1,good
352,EKOL_1,good
354,EKOL_1,good
357,EKOL_1,good
358,EKOL_1,good
360,EKOL_1,good
364,EKOL_1,good
366,EKOL_1,good
368,EKOL_1,good
370,EKOL_1,good
374,EKOL_1,good
376,EKOL_1,good
378,EKOL_1,good
380,EKOL_1,good
382,EKOL_1,good
384,EKOL_1,good
386,EKOL_1,good
388,EKOL_1,good
390,EKOL_1,good
392,EKOL_1,good
394,EKOL_1,good
396,EKOL_1,good
401,EKOL_1,good
402,EKOL_1,good
404,EKOL_1,good
406,EKOL_1,good
408,EKOL_1,good
45,TAV_1,good
37,TAV_1,good
41,TAV_1,good
47,TAV_1,good
39,TAV_1,good
43,TAV_1,good
33,TAV_1,good
25,TAV_1,good
15,TAV_1,good
23,TAV_1,good
17,TAV_1,good
27,TAV_1,good
29,TAV_1,good
35,TAV_1,good
31,TAV_1,good
21,TAV_1,good
5,TAV_1,good
9,TAV_1,good
13,TAV_1,good
7,TAV_1,good
11,TAV_1,good
1,TAV_1,good
59,TAV_1,good
61,TAV_1,good
53,TAV_1,good
57,TAV_1,good
55,TAV_1,good
49,TAV_1,good
51,TAV_1,good
310,TAV_1,good
312,TAV_1,good
306,TAV_1,good
324,TAV_1,good
304,TAV_1,good
308,TAV_1,good
332,TAV_1,good
328,TAV_1,good
314,TAV_1,good
320,TAV_1,good
316,TAV_1,good
322,TAV_1,good
330,TAV_1,good
326,TAV_1,good
335,EKOL_2,good
337,EKOL_2,good
339,EKOL_2,good
343,EKOL_2,good
345,EKOL_2,good
347,EKOL_2,good
349,EKOL_2,good
351,EKOL_2,good
353,EKOL_2,good
355,EKOL_2,good
356,EKOL_2,good
359,EKOL_2,good
361,EKOL_2,good
365,EKOL_2,good
367,EKOL_2,good
369,EKOL_2,good
371,EKOL_2,good
375,EKOL_2,good
377,EKOL_2,good
379,EKOL_2,good
381,EKOL_2,good
383,EKOL_2,good
385,EKOL_2,good
387,EKOL_2,good
389,EKOL_2,good
391,EKOL_2,good
393,EKOL_2,good
395,EKOL_2,good
397,EKOL_2,good
400,EKOL_2,good
403,EKOL_2,good
405,EKOL_2,good
407,EKOL_2,good
409,EKOL_2,good
46,TAV_2,good
38,TAV_2,good
42,TAV_2,good
48,TAV_2,good
40,TAV_2,good
44,TAV_2,good
34,TAV_2,good
26,TAV_2,good
16,TAV_2,good
24,TAV_2,good
18,TAV_2,good
28,TAV_2,good
30,TAV_2,good
36,TAV_2,good
32,TAV_2,good
22,TAV_2,good
6,TAV_2,good
10,TAV_2,good
14,TAV_2,good
8,TAV_2,good
12,TAV_2,good
2,TAV_2,good
60,TAV_2,good
62,TAV_2,good
54,TAV_2,good
58,TAV_2,good
56,TAV_2,good
50,TAV_2,good
52,TAV_2,good
311,TAV_2,good
313,TAV_2,good
307,TAV_2,good
325,TAV_2,good
305,TAV_2,good
309,TAV_2,good
333,TAV_2,good
329,TAV_2,good
315,TAV_2,good
321,TAV_2,good
317,TAV_2,good
323,TAV_2,good
331,TAV_2,good
327,TAV_2,good
