readset_id,run_id,sample_id,filename1,filename2,quality_status
313,2,313,,,good
307,3,307,,,good
325,3,325,,,good
305,3,305,,,good
309,3,309,,,good
333,3,333,,,good
329,2,329,,,good
315,2,315,,,good
321,3,321,,,good
317,2,317,,,good
323,3,323,,,good
331,2,331,,,good
327,2,327,,,good
411,3,411,,,good
412,3,412,,,good
414,3,414,,,good
418,3,418,,,good
420,3,420,,,good
422,3,422,,,good
426,3,426,,,good
429,3,429,,,good
430,3,430,,,good
432,3,432,,,good
434,3,434,,,good
438,3,438,,,good
440,3,440,,,good
442,3,442,,,good
445,3,445,,,good
476,3,476,,,good
478,3,478,,,good
480,3,480,,,good
482,3,482,,,good
484,3,484,,,good
486,4,486,,,good
488,3,488,,,good
490,4,490,,,good
492,4,492,,,good
494,4,494,,,good
502,4,502,,,good
2.26.1,6,2.26.1,,,good
2.45.1,6,2.45.1,,,good
2.52.1,6,2.52.1,,,good
2.55.1,6,2.55.1,,,good
2.76.1,6,2.76.1,,,good
2.79.1,6,2.79.1,,,good
2.199.1,6,2.199.1,,,good
2.503.1,6,2.503.1,,,good
2.504.1,6,2.504.1,,,good
2.510.1,6,2.510.1,,,good
2.25.1,6,2.25.1,,,good
410,3,410,,,good
413,3,413,,,good
415,3,415,,,good
419,3,419,,,good
421,3,421,,,good
423,3,423,,,good
427,3,427,,,good
428,3,428,,,good
431,3,431,,,good
433,3,433,,,good
435,3,435,,,good
439,3,439,,,good
441,3,441,,,good
443,3,443,,,good
444,3,444,,,good
477,3,477,,,good
479,3,479,,,good
481,3,481,,,good
483,3,483,,,good
485,3,485,,,good
487,3,487,,,good
489,3,489,,,good
491,4,491,,,good
493,4,493,,,good
495,4,495,,,good
503,4,503,,,good
2.26.2,6,2.26.2,,,good
2.45.2,6,2.45.2,,,good
2.52.2,6,2.52.2,,,good
2.55.2,6,2.55.2,,,good
2.76.2,6,2.76.2,,,good
2.79.2,6,2.79.2,,,good
2.199.2,6,2.199.2,,,good
2.503.2,6,2.503.2,,,good
2.504.2,6,2.504.2,,,good
2.510.2,6,2.510.2,,,good
2.25.2,6,2.25.2,,,good
446,3,446,,,good
448,3,448,,,good
450,3,450,,,good
452,3,452,,,good
454,3,454,,,good
456,3,456,,,good
458,3,458,,,good
462,3,462,,,good
464,3,464,,,good
466,3,466,,,good
468,3,468,,,good
472,3,472,,,good
474,3,474,,,good
506,3,506,,,good
508,3,508,,,good
510,3,510,,,good
512,3,512,,,good
514,3,514,,,good
518,4,518,,,good
522,4,522,,,good
526,3,526,,,good
528,3,528,,,good
1.7.1,6,1.7.1,,,good
1.49.1,6,1.49.1,,,good
1.72.1,6,1.72.1,,,good
1.97.1,6,1.97.1,,,good
1.121.1,6,1.121.1,,,good
1.153.1,6,1.153.1,,,good
1.155.1,6,1.155.1,,,good
1.203.1,6,1.203.1,,,good
1.507.1,6,1.507.1,,,good
1.511.1,6,1.511.1,,,good
1.68.1,6,1.68.1,,,good
1.506.1,6,1.506.1,,,good
447,3,447,,,good
449,3,449,,,good
451,3,451,,,good
453,3,453,,,good
455,3,455,,,good
457,3,457,,,good
459,3,459,,,good
463,3,463,,,good
465,3,465,,,good
467,3,467,,,good
469,3,469,,,good
473,3,473,,,good
475,3,475,,,good
507,3,507,,,good
509,3,509,,,good
511,3,511,,,good
513,3,513,,,good
515,3,515,,,good
519,4,519,,,good
523,4,523,,,good
527,3,527,,,good
529,3,529,,,good
1.7.2,6,1.7.2,,,good
1.49.2,6,1.49.2,,,good
1.72.2,6,1.72.2,,,good
1.97.2,6,1.97.2,,,good
1.121.2,6,1.121.2,,,good
1.153.2,6,1.153.2,,,good
1.155.2,6,1.155.2,,,good
1.203.2,6,1.203.2,,,good
1.507.2,6,1.507.2,,,good
1.511.2,6,1.511.2,,,good
1.68.2,6,1.68.2,,,good
1.506.2,6,1.506.2,,,good
