Taxon	1.49.1	1.203.2	2.55.2	2.55.1	2.26.1	1.155.2	2.52.2	1.49.2	2.52.1	1.506.2	1.97.1	1.7.1	1.68.1	1.97.2	1.511.2	1.121.2	2.510.2	2.503.1	2.510.1	1.153.2	2.503.2	2.79.2	1.68.2	1.506.1	1.7.2	1.72.1	2.79.1	2.157.2	1.511.1	1.121.1	1.153.1	2.504.1	2.26.2	2.25.2	2.199.1	2.504.2	2.25.1	2.76.1	2.76.2	1.72.2	2.45.1	1.203.1	2.45.2	1.155.1	2.199.2	1.507.1	1.507.2
k__Archaea; p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.00175	0.0	0.0	0.0	0.0	0.01675	0.0	0.0	0.00225	0.0	0.0	0.001	0.0	0.00175	0.0	0.0	0.00175	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.00025	0.0	0.00225	0.0	0.0	0.0	0.04725	0.00375	0.0	0.0
k__Bacteria; p__Actinobacteria	0.0015	0.0025	0.004	0.01925	0.023	0.033	0.00875	0.0095	0.0105	0.01875	0.05675	0.0255	0.0035	0.04325	0.013	0.0435	0.003	0.0145	0.0615	0.01625	0.00025	0.00825	0.0265	0.0275	0.00825	0.011	0.0155	0.005	0.001	0.0155	0.00125	0.0005	0.0005	0.00325	0.0045	0.0005	0.10775	0.01225	0.00375	0.082	0.00025	0.134	0.00025	0.14375	0.15075	0.001	0.002
k__Bacteria; p__Bacteroidetes	0.461	0.00075	0.70775	0.5955	0.05025	0.15125	0.15625	0.5275	0.2685	0.72325	0.31775	0.36	0.53375	0.0815	0.44325	0.061	0.48675	0.476	0.1465	0.6365	0.76375	0.30925	0.23975	0.532	0.6205	0.18325	0.3665	0.722	0.74825	0.12	0.6805	0.8575	0.7285	0.845	0.77475	0.54175	0.27975	0.6335	0.792	0.195	0.00025	0.0295	0.00275	0.0685	0.095	0.79175	0.6865
k__Bacteria; p__Cyanobacteria	0.0045	0.00025	0.0	0.0	0.00025	0.0	0.0	0.00225	0.0	0.0	0.0	0.00025	0.0	0.032	0.0	0.0	0.0	0.00025	0.0	0.0	0.0	0.0	0.0005	0.00025	0.0	0.00025	0.0	0.0	0.0	0.0	0.01125	0.0	0.0	0.0	0.0	0.0	0.0	0.00075	0.00025	0.00025	0.00025	0.001	0.0	0.0	0.0005	0.0	0.0
k__Bacteria; p__Firmicutes	0.33425	0.12475	0.14475	0.34525	0.83175	0.74325	0.40675	0.43275	0.6635	0.228	0.551	0.537	0.26625	0.767	0.4475	0.49825	0.4465	0.45175	0.2965	0.22075	0.15975	0.60325	0.68925	0.34125	0.25925	0.72975	0.4645	0.2255	0.22825	0.83475	0.2425	0.13175	0.25725	0.12025	0.09175	0.258	0.605	0.218	0.14975	0.71725	0.0315	0.792	0.92575	0.34925	0.19575	0.0625	0.09175
k__Bacteria; p__Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.00025	0.0	0.0	0.0	0.0	0.0	0.00025	0.0	0.00025	0.0025	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria	0.19825	0.87175	0.1435	0.03925	0.02175	0.064	0.42825	0.022	0.057	0.0295	0.005	0.0195	0.1965	0.002	0.0375	0.39175	0.04125	0.02325	0.483	0.12625	0.076	0.01325	0.03975	0.04075	0.01725	0.00225	0.01775	0.0445	0.014	0.018	0.05925	0.01025	0.01125	0.031	0.07475	0.19925	0.0065	0.03525	0.05425	0.00225	0.96775	0.0345	0.07125	0.37775	0.524	0.14475	0.21975
k__Bacteria; p__Synergistetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.00025	0.0005	0.00075	0.0	0.0	0.0	0.0	0.0	0.00025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__TM7	0.0	0.0	0.0	0.00025	0.00025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.00025	0.0	0.0	0.0	0.00025	0.0	0.0	0.00025	0.00025	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.00125	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.00025	0.0	0.00075	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Tenericutes	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.00025	0.0	0.0	0.00025	0.01525	0.0	0.0	0.01	0.0	0.00075	0.012	0.00075	0.0	0.0	0.0165	0.0005	0.0005	0.0	0.0	0.00225	0.0	0.0	0.001	0.00375	0.0	0.0	0.0	0.0535	0.0005	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.02925	0.0	0.0
k__Bacteria; p__Verrucomicrobia	0.0005	0.0	0.0	0.0005	0.06675	0.00675	0.0	0.00575	0.0005	0.0005	0.0525	0.0425	0.0	0.07175	0.0485	0.0055	0.01375	0.02175	0.0095	0.00025	0.00025	0.04725	0.003	0.057	0.0945	0.0735	0.13175	0.0005	0.0085	0.01025	0.0	0.0	0.0025	0.0	0.00025	0.0	0.0	0.1	0.0	0.00075	0.0	0.00775	0.0	0.0135	0.001	0.0	0.0
