Taxon	1.49.1	1.203.2	2.55.2	2.55.1	2.26.1	1.155.2	2.52.2	1.49.2	2.52.1	1.506.2	1.97.1	1.7.1	1.68.1	1.97.2	1.511.2	1.121.2	2.510.2	2.503.1	2.510.1	1.153.2	2.503.2	2.79.2	1.68.2	1.506.1	1.7.2	1.72.1	2.79.1	2.157.2	1.511.1	1.121.1	1.153.1	2.504.1	2.26.2	2.25.2	2.199.1	2.504.2	2.25.1	2.76.1	2.76.2	1.72.2	2.45.1	1.203.1	2.45.2	1.155.1	2.199.2	1.507.1	1.507.2
k__Archaea; p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	9.0	0.0	0.0	4.0	0.0	7.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	9.0	0.0	0.0	0.0	189.0	15.0	0.0	0.0
k__Bacteria; p__Actinobacteria	6.0	10.0	16.0	77.0	92.0	132.0	35.0	38.0	42.0	75.0	227.0	102.0	14.0	173.0	52.0	174.0	12.0	58.0	246.0	65.0	1.0	33.0	106.0	110.0	33.0	44.0	62.0	20.0	4.0	62.0	5.0	2.0	2.0	13.0	18.0	2.0	431.0	49.0	15.0	328.0	1.0	536.0	1.0	575.0	603.0	4.0	8.0
k__Bacteria; p__Bacteroidetes	1844.0	3.0	2831.0	2382.0	201.0	605.0	625.0	2110.0	1074.0	2893.0	1271.0	1440.0	2135.0	326.0	1773.0	244.0	1947.0	1904.0	586.0	2546.0	3055.0	1237.0	959.0	2128.0	2482.0	733.0	1466.0	2888.0	2993.0	480.0	2722.0	3430.0	2914.0	3380.0	3099.0	2167.0	1119.0	2534.0	3168.0	780.0	1.0	118.0	11.0	274.0	380.0	3167.0	2746.0
k__Bacteria; p__Cyanobacteria	18.0	1.0	0.0	0.0	1.0	0.0	0.0	9.0	0.0	0.0	0.0	1.0	0.0	128.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	1.0	4.0	0.0	0.0	2.0	0.0	0.0
k__Bacteria; p__Firmicutes	1337.0	499.0	579.0	1381.0	3327.0	2973.0	1627.0	1731.0	2654.0	912.0	2204.0	2148.0	1065.0	3068.0	1790.0	1993.0	1786.0	1807.0	1186.0	883.0	639.0	2413.0	2757.0	1365.0	1037.0	2919.0	1858.0	902.0	913.0	3339.0	970.0	527.0	1029.0	481.0	367.0	1032.0	2420.0	872.0	599.0	2869.0	126.0	3168.0	3703.0	1397.0	783.0	250.0	367.0
k__Bacteria; p__Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria	793.0	3487.0	574.0	157.0	87.0	256.0	1713.0	88.0	228.0	118.0	20.0	78.0	786.0	8.0	150.0	1567.0	165.0	93.0	1932.0	505.0	304.0	53.0	159.0	163.0	69.0	9.0	71.0	178.0	56.0	72.0	237.0	41.0	45.0	124.0	299.0	797.0	26.0	141.0	217.0	9.0	3871.0	138.0	285.0	1511.0	2096.0	579.0	879.0
k__Bacteria; p__Synergistetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__TM7	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Tenericutes	0.0	0.0	0.0	0.0	24.0	0.0	0.0	1.0	0.0	0.0	1.0	61.0	0.0	0.0	40.0	0.0	3.0	48.0	3.0	0.0	0.0	66.0	2.0	2.0	0.0	0.0	9.0	0.0	0.0	4.0	15.0	0.0	0.0	0.0	214.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	117.0	0.0	0.0
k__Bacteria; p__Verrucomicrobia	2.0	0.0	0.0	2.0	267.0	27.0	0.0	23.0	2.0	2.0	210.0	170.0	0.0	287.0	194.0	22.0	55.0	87.0	38.0	1.0	1.0	189.0	12.0	228.0	378.0	294.0	527.0	2.0	34.0	41.0	0.0	0.0	10.0	0.0	1.0	0.0	0.0	400.0	0.0	3.0	0.0	31.0	0.0	54.0	4.0	0.0	0.0
